Period,Dimension_1,Value
gregorian-day/28/11/2018,Six largest suppliers (direct debit),1030.12
gregorian-day/28/12/2018,Six largest suppliers (direct debit),1034.69
gregorian-day/28/01/2019,Six largest suppliers (direct debit),1035.63
gregorian-day/28/02/2019,Six largest suppliers (direct debit),1008.69
gregorian-day/28/03/2019,Six largest suppliers (direct debit),1011.22
gregorian-day/28/04/2019,Six largest suppliers (direct debit),1024.59
gregorian-day/28/05/2019,Six largest suppliers (direct debit),943.25
gregorian-day/28/06/2019,Six largest suppliers (direct debit),932.24
gregorian-day/28/07/2019,Six largest suppliers (direct debit),989.24
gregorian-day/28/08/2019,Six largest suppliers (direct debit),949.41
gregorian-day/28/09/2019,Six largest suppliers (direct debit),931.39
gregorian-day/28/10/2019,Six largest suppliers (direct debit),914.31
gregorian-day/28/11/2019,Six largest suppliers (direct debit),890.08
gregorian-day/28/12/2019,Six largest suppliers (direct debit),903.02
gregorian-day/28/01/2020,Six largest suppliers (direct debit),872.49
gregorian-day/28/02/2020,Six largest suppliers (direct debit),843.14
gregorian-day/28/03/2020,Six largest suppliers (direct debit),835.30
gregorian-day/28/04/2020,Six largest suppliers (direct debit),806.35
gregorian-day/28/05/2020,Six largest suppliers (direct debit),807.72
gregorian-day/28/06/2020,Six largest suppliers (direct debit),819.32
gregorian-day/28/07/2020,Six largest suppliers (direct debit),851.44
gregorian-day/28/08/2020,Six largest suppliers (direct debit),853.66
gregorian-day/28/09/2020,Six largest suppliers (direct debit),853.66
gregorian-day/28/01/2012,Six largest suppliers (standard credit),976.70
gregorian-day/28/02/2012,Six largest suppliers (standard credit),976.70
gregorian-day/28/03/2012,Six largest suppliers (standard credit),976.70
gregorian-day/28/04/2012,Six largest suppliers (standard credit),953.40
gregorian-day/28/05/2012,Six largest suppliers (standard credit),953.40
gregorian-day/28/06/2012,Six largest suppliers (standard credit),953.40
gregorian-day/28/07/2012,Six largest suppliers (standard credit),953.40
gregorian-day/28/08/2012,Six largest suppliers (standard credit),957.03
gregorian-day/28/09/2012,Six largest suppliers (standard credit),1020.71
gregorian-day/28/10/2012,Six largest suppliers (standard credit),1020.71
gregorian-day/28/11/2012,Six largest suppliers (standard credit),1020.71
gregorian-day/28/12/2012,Six largest suppliers (standard credit),1071.38
gregorian-day/28/01/2013,Six largest suppliers (standard credit),1037.20
gregorian-day/28/02/2013,Six largest suppliers (standard credit),1037.20
gregorian-day/28/03/2013,Six largest suppliers (standard credit),1046.57
gregorian-day/28/04/2013,Six largest suppliers (standard credit),1046.57
gregorian-day/28/05/2013,Six largest suppliers (standard credit),1046.57
gregorian-day/28/06/2013,Six largest suppliers (standard credit),1046.57
gregorian-day/28/07/2013,Six largest suppliers (standard credit),1075.51
gregorian-day/28/08/2013,Six largest suppliers (standard credit),1051.79
gregorian-day/28/09/2013,Six largest suppliers (standard credit),1051.79
gregorian-day/28/10/2013,Six largest suppliers (standard credit),1079.91
gregorian-day/28/11/2013,Six largest suppliers (standard credit),1058.15
gregorian-day/28/12/2013,Six largest suppliers (standard credit),1101.65
gregorian-day/28/01/2014,Six largest suppliers (standard credit),1101.65
gregorian-day/28/02/2014,Six largest suppliers (standard credit),1108.10
gregorian-day/28/03/2014,Six largest suppliers (standard credit),1117.27
gregorian-day/28/04/2014,Six largest suppliers (standard credit),1069.95
gregorian-day/28/05/2014,Six largest suppliers (standard credit),1069.95
gregorian-day/28/06/2014,Six largest suppliers (standard credit),1069.95
gregorian-day/28/07/2014,Six largest suppliers (standard credit),1069.95
gregorian-day/28/08/2014,Six largest suppliers (standard credit),1069.95
gregorian-day/28/09/2014,Six largest suppliers (standard credit),1030.95
gregorian-day/28/10/2014,Six largest suppliers (standard credit),1046.45
gregorian-day/28/11/2014,Six largest suppliers (standard credit),1003.79
gregorian-day/28/12/2014,Six largest suppliers (standard credit),1003.79
gregorian-day/28/01/2015,Six largest suppliers (standard credit),945.46
gregorian-day/28/02/2015,Six largest suppliers (standard credit),955.07
gregorian-day/28/03/2015,Six largest suppliers (standard credit),907.24
gregorian-day/28/04/2015,Six largest suppliers (standard credit),977.56
gregorian-day/28/05/2015,Six largest suppliers (standard credit),905.44
gregorian-day/28/06/2015,Six largest suppliers (standard credit),981.78
gregorian-day/28/07/2015,Six largest suppliers (standard credit),981.78
gregorian-day/28/08/2015,Six largest suppliers (standard credit),977.32
gregorian-day/28/09/2015,Six largest suppliers (standard credit),963.77
gregorian-day/28/10/2015,Six largest suppliers (standard credit),873.25
gregorian-day/28/11/2015,Six largest suppliers (standard credit),950.75
gregorian-day/28/12/2015,Six largest suppliers (standard credit),950.75
gregorian-day/28/01/2016,Six largest suppliers (standard credit),839.94
gregorian-day/28/02/2016,Six largest suppliers (standard credit),808.63
gregorian-day/28/03/2016,Six largest suppliers (standard credit),797.76
gregorian-day/28/04/2016,Six largest suppliers (standard credit),793.48
gregorian-day/28/05/2016,Six largest suppliers (standard credit),877.12
gregorian-day/28/06/2016,Six largest suppliers (standard credit),847.45
gregorian-day/28/07/2016,Six largest suppliers (standard credit),904.97
gregorian-day/28/08/2016,Six largest suppliers (standard credit),941.42
gregorian-day/28/09/2016,Six largest suppliers (standard credit),839.15
gregorian-day/28/10/2016,Six largest suppliers (standard credit),967.13
gregorian-day/28/11/2016,Six largest suppliers (standard credit),1002.63
gregorian-day/28/12/2016,Six largest suppliers (standard credit),1031.57
gregorian-day/28/01/2017,Six largest suppliers (standard credit),1031.57
gregorian-day/28/02/2017,Six largest suppliers (standard credit),1033.40
gregorian-day/28/03/2017,Six largest suppliers (standard credit),1016.74
gregorian-day/28/04/2017,Six largest suppliers (standard credit),1018.06
gregorian-day/28/05/2017,Six largest suppliers (standard credit),1018.08
gregorian-day/28/06/2017,Six largest suppliers (standard credit),1018.08
gregorian-day/28/07/2017,Six largest suppliers (standard credit),1017.33
gregorian-day/28/08/2017,Six largest suppliers (standard credit),1004.56
gregorian-day/28/09/2017,Six largest suppliers (standard credit),1051.43
gregorian-day/28/10/2017,Six largest suppliers (standard credit),1012.47
gregorian-day/28/11/2017,Six largest suppliers (standard credit),1100.89
gregorian-day/28/12/2017,Six largest suppliers (standard credit),1051.43
gregorian-day/28/01/2018,Six largest suppliers (standard credit),1051.43
gregorian-day/28/02/2018,Six largest suppliers (standard credit),1050.87
gregorian-day/28/03/2018,Six largest suppliers (standard credit),1074.65
gregorian-day/28/04/2018,Six largest suppliers (standard credit),1143.14
gregorian-day/28/05/2018,Six largest suppliers (standard credit),1057.04
gregorian-day/28/06/2018,Six largest suppliers (standard credit),1033.19
gregorian-day/28/07/2018,Six largest suppliers (standard credit),1045.29
gregorian-day/28/08/2018,Six largest suppliers (standard credit),1198.37
gregorian-day/28/09/2018,Six largest suppliers (standard credit),1138.84
gregorian-day/28/10/2018,Six largest suppliers (standard credit),1164.58
gregorian-day/28/11/2018,Six largest suppliers (standard credit),1055.76
gregorian-day/28/12/2018,Six largest suppliers (standard credit),1134.34
gregorian-day/28/01/2019,Six largest suppliers (standard credit),1125.84
gregorian-day/28/02/2019,Six largest suppliers (standard credit),1040.00
gregorian-day/28/03/2019,Six largest suppliers (standard credit),1040.00
gregorian-day/28/04/2019,Six largest suppliers (standard credit),1228.88
gregorian-day/28/05/2019,Six largest suppliers (standard credit),1089.67
gregorian-day/28/06/2019,Six largest suppliers (standard credit),1015.84
gregorian-day/28/07/2019,Six largest suppliers (standard credit),1079.45
gregorian-day/28/08/2019,Six largest suppliers (standard credit),1053.05
gregorian-day/28/09/2019,Six largest suppliers (standard credit),1042.70
gregorian-day/28/10/2019,Six largest suppliers (standard credit),995.61
gregorian-day/28/11/2019,Six largest suppliers (standard credit),971.38
gregorian-day/28/12/2019,Six largest suppliers (standard credit),1110.29
gregorian-day/28/01/2020,Six largest suppliers (standard credit),1110.29
gregorian-day/28/02/2020,Six largest suppliers (standard credit),924.44
gregorian-day/28/03/2020,Six largest suppliers (standard credit),916.60
gregorian-day/28/04/2020,Six largest suppliers (standard credit),888.21
gregorian-day/28/05/2020,Six largest suppliers (standard credit),925.86
gregorian-day/28/06/2020,Six largest suppliers (standard credit),925.86
gregorian-day/28/07/2020,Six largest suppliers (standard credit),958.11
gregorian-day/28/08/2020,Six largest suppliers (standard credit),958.11
gregorian-day/28/09/2020,Six largest suppliers (standard credit),967.36
gregorian-day/28/01/2012,Six largest suppliers (prepayment),1021.54
gregorian-day/28/02/2012,Six largest suppliers (prepayment),1021.54
gregorian-day/28/03/2012,Six largest suppliers (prepayment),1021.54
gregorian-day/28/04/2012,Six largest suppliers (prepayment),1021.54
gregorian-day/28/05/2012,Six largest suppliers (prepayment),1021.54
gregorian-day/28/06/2012,Six largest suppliers (prepayment),1021.54
gregorian-day/28/07/2012,Six largest suppliers (prepayment),1021.54
gregorian-day/28/08/2012,Six largest suppliers (prepayment),1021.54
gregorian-day/28/09/2012,Six largest suppliers (prepayment),1021.54
gregorian-day/28/10/2012,Six largest suppliers (prepayment),1069.39
gregorian-day/28/11/2012,Six largest suppliers (prepayment),1069.39
gregorian-day/28/12/2012,Six largest suppliers (prepayment),1133.19
gregorian-day/28/01/2013,Six largest suppliers (prepayment),1133.19
gregorian-day/28/02/2013,Six largest suppliers (prepayment),1133.19
gregorian-day/28/03/2013,Six largest suppliers (prepayment),1133.19
gregorian-day/28/04/2013,Six largest suppliers (prepayment),1133.19
gregorian-day/28/05/2013,Six largest suppliers (prepayment),1133.19
gregorian-day/28/06/2013,Six largest suppliers (prepayment),1133.19
gregorian-day/28/07/2013,Six largest suppliers (prepayment),1133.19
gregorian-day/28/08/2013,Six largest suppliers (prepayment),1133.19
gregorian-day/28/09/2013,Six largest suppliers (prepayment),1133.19
gregorian-day/28/10/2013,Six largest suppliers (prepayment),1133.19
gregorian-day/28/11/2013,Six largest suppliers (prepayment),1150.97
gregorian-day/28/12/2013,Six largest suppliers (prepayment),1178.61
gregorian-day/28/01/2014,Six largest suppliers (prepayment),1178.61
gregorian-day/28/02/2014,Six largest suppliers (prepayment),1178.61
gregorian-day/28/03/2014,Six largest suppliers (prepayment),1178.61
gregorian-day/28/04/2014,Six largest suppliers (prepayment),1178.61
gregorian-day/28/05/2014,Six largest suppliers (prepayment),1178.61
gregorian-day/28/06/2014,Six largest suppliers (prepayment),1170.86
gregorian-day/28/07/2014,Six largest suppliers (prepayment),1170.86
gregorian-day/28/08/2014,Six largest suppliers (prepayment),1170.86
gregorian-day/28/09/2014,Six largest suppliers (prepayment),1170.86
gregorian-day/28/10/2014,Six largest suppliers (prepayment),1170.86
gregorian-day/28/11/2014,Six largest suppliers (prepayment),1170.86
gregorian-day/28/12/2014,Six largest suppliers (prepayment),1170.86
gregorian-day/28/01/2015,Six largest suppliers (prepayment),1148.99
gregorian-day/28/02/2015,Six largest suppliers (prepayment),1148.90
gregorian-day/28/03/2015,Six largest suppliers (prepayment),1148.99
gregorian-day/28/04/2015,Six largest suppliers (prepayment),1141.64
gregorian-day/28/05/2015,Six largest suppliers (prepayment),1141.64
gregorian-day/28/06/2015,Six largest suppliers (prepayment),1122.97
gregorian-day/28/07/2015,Six largest suppliers (prepayment),1122.97
gregorian-day/28/08/2015,Six largest suppliers (prepayment),1128.54
gregorian-day/28/09/2015,Six largest suppliers (prepayment),1128.54
gregorian-day/28/10/2015,Six largest suppliers (prepayment),1128.54
gregorian-day/28/11/2015,Six largest suppliers (prepayment),1128.54
gregorian-day/28/12/2015,Six largest suppliers (prepayment),1102.20
gregorian-day/28/01/2016,Six largest suppliers (prepayment),1102.20
gregorian-day/28/02/2016,Six largest suppliers (prepayment),1092.26
gregorian-day/28/03/2016,Six largest suppliers (prepayment),1070.37
gregorian-day/28/04/2016,Six largest suppliers (prepayment),1070.37
gregorian-day/28/05/2016,Six largest suppliers (prepayment),1037.31
gregorian-day/28/06/2016,Six largest suppliers (prepayment),1037.31
gregorian-day/28/07/2016,Six largest suppliers (prepayment),1037.31
gregorian-day/28/08/2016,Six largest suppliers (prepayment),1043.54
gregorian-day/28/09/2016,Six largest suppliers (prepayment),1043.54
gregorian-day/28/10/2016,Six largest suppliers (prepayment),1043.54
gregorian-day/28/11/2016,Six largest suppliers (prepayment),1035.64
gregorian-day/28/12/2016,Six largest suppliers (prepayment),1035.64
gregorian-day/28/01/2017,Six largest suppliers (prepayment),1035.64
gregorian-day/28/02/2017,Six largest suppliers (prepayment),1015.43
gregorian-day/28/03/2017,Six largest suppliers (prepayment),1019.21
gregorian-day/28/04/2017,Six largest suppliers (prepayment),994.53
gregorian-day/28/05/2017,Six largest suppliers (prepayment),994.53
gregorian-day/28/06/2017,Six largest suppliers (prepayment),994.53
gregorian-day/28/07/2017,Six largest suppliers (prepayment),994.53
gregorian-day/28/08/2017,Six largest suppliers (prepayment),988.90
gregorian-day/28/09/2017,Six largest suppliers (prepayment),988.90
gregorian-day/28/10/2017,Six largest suppliers (prepayment),988.90
gregorian-day/28/11/2017,Six largest suppliers (prepayment),988.90
gregorian-day/28/12/2017,Six largest suppliers (prepayment),988.90
gregorian-day/28/01/2018,Six largest suppliers (prepayment),988.90
gregorian-day/28/02/2018,Six largest suppliers (prepayment),1028.21
gregorian-day/28/03/2018,Six largest suppliers (prepayment),1028.21
gregorian-day/28/04/2018,Six largest suppliers (prepayment),1030.55
gregorian-day/28/05/2018,Six largest suppliers (prepayment),1030.93
gregorian-day/28/06/2018,Six largest suppliers (prepayment),1070.34
gregorian-day/28/07/2018,Six largest suppliers (prepayment),1070.34
gregorian-day/28/08/2018,Six largest suppliers (prepayment),1070.50
gregorian-day/28/09/2018,Six largest suppliers (prepayment),1070.50
gregorian-day/28/10/2018,Six largest suppliers (prepayment),1070.50
gregorian-day/28/11/2018,Six largest suppliers (prepayment),1115.66
gregorian-day/28/12/2018,Six largest suppliers (prepayment),1115.66
gregorian-day/28/01/2019,Six largest suppliers (prepayment),1115.66
gregorian-day/28/02/2019,Six largest suppliers (prepayment),1115.66
gregorian-day/28/03/2019,Six largest suppliers (prepayment),1115.66
gregorian-day/28/04/2019,Six largest suppliers (prepayment),1115.66
gregorian-day/28/05/2019,Six largest suppliers (prepayment),1224.01
gregorian-day/28/06/2019,Six largest suppliers (prepayment),1224.01
gregorian-day/28/07/2019,Six largest suppliers (prepayment),1224.01
gregorian-day/28/08/2019,Six largest suppliers (prepayment),1215.59
gregorian-day/28/09/2019,Six largest suppliers (prepayment),1215.59
gregorian-day/28/10/2019,Six largest suppliers (prepayment),1198.83
gregorian-day/28/11/2019,Six largest suppliers (prepayment),1165.94
gregorian-day/28/12/2019,Six largest suppliers (prepayment),1165.94
gregorian-day/28/01/2020,Six largest suppliers (prepayment),1152.95
gregorian-day/28/02/2020,Six largest suppliers (prepayment),1152.95
gregorian-day/28/03/2020,Six largest suppliers (prepayment),1146.81
gregorian-day/28/04/2020,Six largest suppliers (prepayment),1098.07
gregorian-day/28/05/2020,Six largest suppliers (prepayment),1098.07
gregorian-day/28/06/2020,Six largest suppliers (prepayment),1098.07
gregorian-day/28/07/2020,Six largest suppliers (prepayment),1098.07
gregorian-day/28/08/2020,Six largest suppliers (prepayment),1098.07
gregorian-day/28/09/2020,Six largest suppliers (prepayment),1098.07
gregorian-day/28/01/2012,Market (direct debit),
gregorian-day/28/02/2012,Market (direct debit),
gregorian-day/28/03/2012,Market (direct debit),
gregorian-day/28/04/2012,Market (direct debit),
gregorian-day/28/05/2012,Market (direct debit),
gregorian-day/28/06/2012,Market (direct debit),
gregorian-day/28/07/2012,Market (direct debit),
gregorian-day/28/08/2012,Market (direct debit),
gregorian-day/28/09/2012,Market (direct debit),
gregorian-day/28/10/2012,Market (direct debit),
gregorian-day/28/11/2012,Market (direct debit),
gregorian-day/28/12/2012,Market (direct debit),
gregorian-day/28/01/2013,Market (direct debit),
gregorian-day/28/02/2013,Market (direct debit),
gregorian-day/28/03/2013,Market (direct debit),
gregorian-day/28/04/2013,Market (direct debit),
gregorian-day/28/05/2013,Market (direct debit),
gregorian-day/28/06/2013,Market (direct debit),
gregorian-day/28/07/2013,Market (direct debit),
gregorian-day/28/08/2013,Market (direct debit),
gregorian-day/28/09/2013,Market (direct debit),
gregorian-day/28/10/2013,Market (direct debit),
gregorian-day/28/11/2013,Market (direct debit),
gregorian-day/28/12/2013,Market (direct debit),
gregorian-day/28/01/2014,Market (direct debit),
gregorian-day/28/02/2014,Market (direct debit),
gregorian-day/28/03/2014,Market (direct debit),
gregorian-day/28/04/2014,Market (direct debit),
gregorian-day/28/05/2014,Market (direct debit),
gregorian-day/28/06/2014,Market (direct debit),
gregorian-day/28/07/2014,Market (direct debit),
gregorian-day/28/08/2014,Market (direct debit),
gregorian-day/28/09/2014,Market (direct debit),
gregorian-day/28/10/2014,Market (direct debit),
gregorian-day/28/11/2014,Market (direct debit),
gregorian-day/28/12/2014,Market (direct debit),
gregorian-day/28/01/2015,Market (direct debit),
gregorian-day/28/02/2015,Market (direct debit),
gregorian-day/28/03/2015,Market (direct debit),
gregorian-day/28/04/2015,Market (direct debit),
gregorian-day/28/05/2015,Market (direct debit),
gregorian-day/28/06/2015,Market (direct debit),
gregorian-day/28/07/2015,Market (direct debit),
gregorian-day/28/08/2015,Market (direct debit),
gregorian-day/28/09/2015,Market (direct debit),
gregorian-day/28/10/2015,Market (direct debit),
gregorian-day/28/11/2015,Market (direct debit),
gregorian-day/28/12/2015,Market (direct debit),
gregorian-day/28/01/2016,Market (direct debit),
gregorian-day/28/02/2016,Market (direct debit),
gregorian-day/28/03/2016,Market (direct debit),
gregorian-day/28/04/2016,Market (direct debit),
gregorian-day/28/05/2016,Market (direct debit),
gregorian-day/28/06/2016,Market (direct debit),
gregorian-day/28/07/2016,Market (direct debit),
gregorian-day/28/08/2016,Market (direct debit),
gregorian-day/28/09/2016,Market (direct debit),
gregorian-day/28/10/2016,Market (direct debit),
gregorian-day/28/11/2016,Market (direct debit),
gregorian-day/28/12/2016,Market (direct debit),
gregorian-day/28/01/2017,Market (direct debit),
gregorian-day/28/02/2017,Market (direct debit),
gregorian-day/28/03/2017,Market (direct debit),
gregorian-day/28/04/2017,Market (direct debit),
gregorian-day/28/05/2017,Market (direct debit),
gregorian-day/28/06/2017,Market (direct debit),
gregorian-day/28/07/2017,Market (direct debit),
gregorian-day/28/08/2017,Market (direct debit),
gregorian-day/28/09/2017,Market (direct debit),
gregorian-day/28/10/2017,Market (direct debit),
gregorian-day/28/11/2017,Market (direct debit),
gregorian-day/28/12/2017,Market (direct debit),
gregorian-day/28/01/2018,Market (direct debit),
gregorian-day/28/02/2018,Market (direct debit),
gregorian-day/28/03/2018,Market (direct debit),
gregorian-day/28/04/2018,Market (direct debit),
gregorian-day/28/05/2018,Market (direct debit),
gregorian-day/28/06/2018,Market (direct debit),
gregorian-day/28/07/2018,Market (direct debit),
gregorian-day/28/08/2018,Market (direct debit),
gregorian-day/28/09/2018,Market (direct debit),
gregorian-day/28/10/2018,Market (direct debit),
gregorian-day/28/11/2018,Market (direct debit),
gregorian-day/28/12/2018,Market (direct debit),
gregorian-day/28/01/2019,Market (direct debit),
gregorian-day/28/02/2019,Market (direct debit),
gregorian-day/28/03/2019,Market (direct debit),
gregorian-day/28/04/2019,Market (direct debit),
gregorian-day/28/05/2019,Market (direct debit),
gregorian-day/28/06/2019,Market (direct debit),
gregorian-day/28/07/2019,Market (direct debit),
gregorian-day/28/08/2019,Market (direct debit),
gregorian-day/28/09/2019,Market (direct debit),
gregorian-day/28/10/2019,Market (direct debit),
gregorian-day/28/11/2019,Market (direct debit),
gregorian-day/28/12/2019,Market (direct debit),
gregorian-day/28/01/2020,Market (direct debit),
gregorian-day/28/02/2020,Market (direct debit),
gregorian-day/28/03/2020,Market (direct debit),
gregorian-day/28/04/2020,Market (direct debit),
gregorian-day/28/05/2020,Market (direct debit),
gregorian-day/28/06/2020,Market (direct debit),
gregorian-day/28/07/2020,Market (direct debit),
gregorian-day/28/08/2020,Market (direct debit),
gregorian-day/28/09/2020,Market (direct debit),
gregorian-day/28/01/2012,Market (standard credit),971.04
gregorian-day/28/02/2012,Market (standard credit),971.04
gregorian-day/28/03/2012,Market (standard credit),971.04
gregorian-day/28/04/2012,Market (standard credit),953.40
gregorian-day/28/05/2012,Market (standard credit),890.12
gregorian-day/28/06/2012,Market (standard credit),953.40
gregorian-day/28/07/2012,Market (standard credit),953.40
gregorian-day/28/08/2012,Market (standard credit),957.03
gregorian-day/28/09/2012,Market (standard credit),988.14
gregorian-day/28/10/2012,Market (standard credit),988.14
gregorian-day/28/11/2012,Market (standard credit),979.35
gregorian-day/28/12/2012,Market (standard credit),979.35
gregorian-day/28/01/2013,Market (standard credit),979.35
gregorian-day/28/02/2013,Market (standard credit),1037.20
gregorian-day/28/03/2013,Market (standard credit),1046.57
gregorian-day/28/04/2013,Market (standard credit),1046.57
gregorian-day/28/05/2013,Market (standard credit),996.90
gregorian-day/28/06/2013,Market (standard credit),996.90
gregorian-day/28/07/2013,Market (standard credit),996.90
gregorian-day/28/08/2013,Market (standard credit),1051.79
gregorian-day/28/09/2013,Market (standard credit),1051.79
gregorian-day/28/10/2013,Market (standard credit),1070.99
gregorian-day/28/11/2013,Market (standard credit),1058.15
gregorian-day/28/12/2013,Market (standard credit),1101.65
gregorian-day/28/01/2014,Market (standard credit),1101.65
gregorian-day/28/02/2014,Market (standard credit),1108.10
gregorian-day/28/03/2014,Market (standard credit),1117.27
gregorian-day/28/04/2014,Market (standard credit),1069.95
gregorian-day/28/05/2014,Market (standard credit),1069.95
gregorian-day/28/06/2014,Market (standard credit),1069.95
gregorian-day/28/07/2014,Market (standard credit),1029.05
gregorian-day/28/08/2014,Market (standard credit),1038.88
gregorian-day/28/09/2014,Market (standard credit),1030.95
gregorian-day/28/10/2014,Market (standard credit),1024.45
gregorian-day/28/11/2014,Market (standard credit),1003.79
gregorian-day/28/12/2014,Market (standard credit),1003.79
gregorian-day/28/01/2015,Market (standard credit),945.46
gregorian-day/28/02/2015,Market (standard credit),950.35
gregorian-day/28/03/2015,Market (standard credit),907.24
gregorian-day/28/04/2015,Market (standard credit),950.63
gregorian-day/28/05/2015,Market (standard credit),905.44
gregorian-day/28/06/2015,Market (standard credit),940.90
gregorian-day/28/07/2015,Market (standard credit),939.85
gregorian-day/28/08/2015,Market (standard credit),940.27
gregorian-day/28/09/2015,Market (standard credit),907.26
gregorian-day/28/10/2015,Market (standard credit),844.04
gregorian-day/28/11/2015,Market (standard credit),844.04
gregorian-day/28/12/2015,Market (standard credit),844.04
gregorian-day/28/01/2016,Market (standard credit),839.94
